Empresa;Cotação;Divida_Liquida;Custos;Lucro_Liquido;Lucro_Bruto;Margem_Bruta;Margem_Liquida;Divida_Bruta;Divida_Liquida.1;Roic;ROE;Receita_Liquida;EBITA;EBIT;Impostos;Margem_EBITA;Dy;P/VP;P/L;VPA;LPA
ESPAÇOLASER;1.36;713390000.0;-611610000.0;-40110000.0;358350000.0;36.94;-4.14;921750000.0;;5.26;-1.2;969960000.0;122100000.0;213070000.0;-27470000.0;21.97;0.0;0.56;-13.01;2.43;-0.1
OI S.A;0.61;21230000000.0;-9620000000.0;-22840000000.0;790640000.0;7.6;-219.4;23750000000.0;;10254.44;-32.09;10410000000.0;-17650000000.0;-14810000000.0;-890540000.0;-142.31;0.0;-0.02;-0.02;-36.24;-34.59
DURATEX;7.25;4320000000.0;-5110000000.0;683730000.0;2690000000.0;34.51;8.76;5970000000.0;;11.53;2.88;7810000000.0;1.44;2370000000.0;-56920000.0;30.34;4.68;0.99;8.9;7.35;0.81
TOTVS;26.45;-974140000.0;-1.2;512630000.0;2850000000.0;70.45;12.66;1.75;;8.75;2.89;4050000000.0;700360000.0;956260000.0;-163030000.0;23.62;1.66;3.71;31.31;7.12;0.84
ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;7.33;12190000000.0;-4610000000.0;472050000.0;2590000000.0;35.96;6.56;14370000000.0;;10.1;4.96;7200000000.0;2220000000.0;2910000000.0;-513100000.0;40.37;0.1;2.01;10.87;3.64;0.67
VIVO - TELEFÔNICA BRASIL;44.89;12860000000.0;-28560000000.0;4520000000.0;21750000000.0;43.23;8.98;18270000000.0;;7.25;1.64;50310000000.0;7240000000.0;20210000000.0;-933040000.0;40.16;5.18;1.09;16.51;41.27;2.72
PETRORECÔNCAVO;19.2;-176870000.0;-1.75;997670000.0;1.21;40.93;33.72;608620000.0;;18.86;6.28;2960000000.0;1.02;1.46;-95010000.0;49.23;5.52;1.3;5.64;14.71;3.4
AES BRASIL ENERGIA;10.5;8330000000.0;-2030000000.0;336210000.0;1.07;34.55;10.86;11620000000.0;;4.56;1.94;3100000000.0;848570000.0;1.41;-116970000.0;45.64;0.0;1.44;43.6;7.32;0.24
GUARARAPES CONFECÇÕES;5.05;1.71;-3540000000.0;-87540000.0;5000000000.0;58.57;-1.03;3840000000.0;;3.64;-0.43;8529999999.999999;349920000.0;749310000.0;26320000.0;8.78;0.0;0.5;-28.8;10.14;-0.18
BRASKEM;16.0;21950000000.0;-77990000000.0;-3890000000.0;3590000000.0;4.41;-4.76;37530000000.0;21950000000.0;-6.65;-12.51;81580000000.0;-2300000000.0;2850000000.0;681750000.0;3.49;0.0;1.76;-3.75;9.07;-4.26
