"Código","Nome","Volume","Última (R$)","Variação"
"ITSA3","Itaúsa","136.800","9,02","+0,67%"
"PFRM3","Profarma","128.000","3,67","+1,38%"
"AGXY3","AgroGalaxy","109.000","4,17","+0,72%"
"CAMB3","Cambuci","103.500","9,12","-0,33%"
"TCSA3","Tecnisa","100.700","2,88","+1,41%"
"UNIP6","Unipar","97.100","78,85","+0,06%"
"DEXP3","Dexxos","87.200","10,59","+1,34%"
"LPSB3","Lopes","85.500","2,08","+0,00%"
"ALPK3","Estapar","83.000","4,37","+3,80%"
"FHER3","Fertilizantes Heringer","82.300","8,15","+5,84%"
"OSXB3","OSX Brasil","81.900","7,59","+34,57%"
"INEP3","Inepar","79.100","4,81","+1,26%"
"CSUD3","CSU Cardsystem","75.200","15,02","-1,12%"
"USIM3","Usiminas","75.100","6,63","-0,60%"
"EUCA4","Eucatex","73.000","12,25","-0,65%"
"CTSA4","Santanense","67.800","1,94","-3,48%"
"CTNM4","Coteminas","64.800","1,94","-5,83%"
"SLED4","Saraiva","64.300","1,60","-1,84%"
"ATMP3","Atma","57.800","2,56","+2,40%"
"ALLD3","Allied","56.100","5,97","+0,51%"
"LOGN3","Log-In","48.900","39,25","-2,19%"
"GGBR3","Gerdau","45.300","21,26","-1,35%"
"RSID3","Rossi Residencial","44.600","3,76","+0,80%"
"IGTI3","Iguatemi","44.500","2,62","+0,77%"
"IGTI3","Jereissati Participações","44.500","2,62","+0,77%"
"BRAP3","Bradespar","44.300","20,04","-2,34%"
"BRIV4","Alfa Investimento","43.100","11,39","+0,80%"
"INEP4","Inepar","42.900","3,62","+1,12%"
"OIBR4","Oi","39.700","1,93","+1,05%"
"PDTC3","Padtec","38.700","2,50","-1,19%"
"CTSA3","Santanense","36.400","2,70","-5,92%"
"LAND3","Terra Santa","35.800","21,43","+0,23%"
"BMEB4","Banco Mercantil do Brasil","35.500","12,00","-3,61%"
"SNSY5","Sansuy","33.900","4,24","+6,53%"
"TPIS3","Triunfo","31.900","4,00","+0,25%"
"APER3","Alper","28.400","31,40","-0,57%"
"BRKM3","Braskem","25.900","21,35","-1,16%"
"PTNT4","Pettenati","24.800","9,03","+0,78%"
"VSTE3","LE LIS BLANC","24.500","14,73","+2,22%"
"DMVF3","D1000 Varejo Farma","23.300","4,94","+0,82%"
"PMAM3","Paranapanema","20.900","4,55","-1,73%"
"EALT4","Electro Aço Altona","16.000","8,27","-1,90%"
"COCE5","Coelce","14.900","43,55","-1,87%"
"ALUP4","Alupar","13.100","9,54","+1,71%"
"HOOT4","Hotéis Othon","12.500","2,38","-0,42%"
"TASA3","Taurus","12.300","15,24","+0,73%"
"UCAS3","Unicasa","12.000","2,54","+0,00%"
"BEES3","Banestes","11.200","8,52","-0,58%"
"FRTA3","Pomi Frutas","9.900","2,43","+0,41%"
"CRPG5","Tronox Pigmentos","8.600","44,04","-1,03%"
"RAPT3","Randon","7.300","9,20","+0,00%"
