Company Name;DÍVIDA LÍQUIDA - LUCRO LÍQUIDO;DIVIDENDOS;LUCRO OPERACIONAL>0;P/VP abaixo de 5;Líquida/EBITDA é menor que 2;+30 anos de mercado? (Fundação);P/L < 15;Roe > 15;Roa > 10Roic > 12;tag_along 100%;free_float 50%;Soma_total;Formula Graham;Cotacao
OMEGA GERAÇÃO;0;0;1;1;0;0;1.0;0;;1;1;5;0.0;9.02
LIGHT;0;0;0;1;1;0;1.0;0;;1;1;5;0.0;5.26
TUPY;0;1;1;1;0;1;1.0;0;;1;0;6;39.03;26.01
IRANI PAPEL E EMBALAGEM S.A;0;1;1;1;1;1;1.0;0;;1;0;9;15.3;11.74
NEOGRID PARTICIPAÇÕES S.A.;1;0;1;1;0;0;0.0;0;;1;0;4;1.47;1.21
INDÚSTRIAS ROMI;0;1;1;1;1;1;1.0;0;;1;1;8;26.39;11.65
BEMOBI MOBILE TECH S.A.;1;0;1;1;1;1;1.0;0;;1;1;8;16.91;11.8
HOSPITAL MATER DEI;0;0;1;1;0;1;0.0;0;;1;0;4;5.48;8.09
WIZ;1;1;1;1;1;1;1.0;0;;1;0;9;6.2;5.14
HBR REALTY;0;0;1;1;0;0;1.0;0;;1;1;5;16.06;4.74
CEMIG;0;1;1;1;1;1;1.0;0;;0;1;8;23.96;19.03
VALID;0;1;1;1;1;1;1.0;0;;1;1;9;26.66;16.73
MOURA DUBEUX ENGENHARIA S/A;1;0;1;1;1;1;1.0;0;;0;1;7;22.35;9.46
BRASILAGRO;0;1;1;1;1;0;1.0;0;;1;1;7;35.52;28.16
FRAS-LE;1;0;1;1;1;1;1.0;0;;0;0;7;13.12;15.18
BLAU FARMACÊUTICA;1;0;1;1;1;1;1.0;0;;1;0;9;20.23;16.39
LAVVI;1;1;1;1;1;1;1.0;0;;1;0;8;10.4;6.83
MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A;0;1;1;1;0;1;1.0;0;;1;0;6;14.18;3.56
VIVER INCORPORADORA E CONSTRUTORA;0;0;0;1;1;1;1.0;1;;1;1;7;0.0;3.33
VULCABRAS;1;1;1;1;1;1;1.0;0;;1;0;10;19.39;18.54
CIA SANEAMENTO DO PARANA - SANEPAR;0;1;1;1;0;1;1.0;0;;1;1;7;11.04;4.29
ENJOEI;1;0;0;1;0;1;1.0;0;;1;1;6;0.0;1.35
DIMED;0;0;1;1;0;1;0.0;0;;0;0;3;9.63;11.39
KLABIN S.A.;0;1;1;1;0;1;1.0;0;;1;1;9;6.19;4.69
WILSON SONS LTD.;0;1;1;1;0;1;0.0;0;;1;0;5;9.84;13.6
HELBOR;1;1;1;1;1;1;1.0;0;;1;0;8;8.5;2.36
PRINER;0;0;1;1;1;0;0.0;0;;1;1;6;8.43;9.76
CLEAR SALE;1;0;0;1;0;1;1.0;0;;1;0;5;0.0;4.24
LUPATECH;0;0;0;1;1;1;1.0;0;;1;1;6;12.25;2.27
CRUZEIRO DO SUL EDUCACIONAL;0;0;1;1;1;1;0.0;0;;1;0;6;3.35;3.97
ETERNIT;1;1;1;1;1;1;1.0;0;;1;1;9;17.92;7.67
MAHLE-METAL LEVE;1;1;1;1;1;1;1.0;0;;1;0;10;37.11;46.62
VITTIA;0;0;1;1;1;1;1.0;0;;1;0;8;8.87;11.62
MARCOPOLO;1;1;1;1;1;1;1.0;0;;1;1;9;7.56;4.31
WESTWING;1;0;0;1;1;0;1.0;0;;1;1;6;0.0;1.31
DOTZ;0;0;0;1;1;1;1.0;0;;1;0;6;0.0;1.1
TECHNOS;1;0;1;1;1;0;1.0;0;;1;0;6;8.9;3.53
LOG COMMERCIAL PROPERTIES;1;1;1;1;1;0;1.0;0;;1;1;8;42.02;18.59
RENOVA ENERGIA;0;0;1;1;1;0;1.0;1;;1;0;8;14.14;1.22
TIME FOR FUN;0;0;1;1;1;0;0.0;0;;1;1;6;1.22;2.3
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;0;0;1;1;1;1;1.0;0;;1;0;6;0.0;9.22
TEGMA GESTÃO LOGÍSTICA;1;1;1;1;1;0;1.0;0;;1;0;9;27.59;24.27
BOA SAFRA SEMENTES S.A.;0;0;1;1;1;1;1.0;0;;1;0;7;16.46;12.45
JSL;0;0;1;1;0;1;1.0;0;;1;0;6;12.82;8.04
UNIFIQUE;1;1;1;1;1;1;1.0;0;;1;0;8;4.65;3.69
SYN PROP E TECH S.A.;0;0;1;1;0;0;1.0;0;;1;0;4;0.0;3.94
BANCO SANTANDER;1;1;1;1;1;1;1.0;0;;0;0;7;20.13;12.54
ORIZON;0;0;1;1;0;1;1.0;0;;1;1;6;0.0;35.4
TAESA;0;1;1;1;0;0;1.0;0;;1;1;6;12.83;11.31
PDG REALTY;0;0;1;1;1;0;1.0;0;;1;1;6;0.0;3.95
ELETROMIDIA;0;0;1;1;0;1;0.0;0;;1;0;4;7.49;13.96
ITAUSA INVESTIMENTOS ITAU S.A.;1;1;1;1;1;1;1.0;0;;0;0;9;15.62;8.96
PROFARMA;0;1;1;1;0;1;1.0;0;;1;1;7;7.38;3.71
AGROGALAXY;0;0;1;1;0;1;1.0;0;;1;0;6;0.0;4.12
CAMBUCI S.A.;1;0;1;1;1;1;1.0;0;;0;1;9;13.94;8.71
TECNISA;0;0;1;1;0;0;1.0;0;;1;1;5;8.11;2.73
UNIPAR CARBOCLORO;1;1;1;1;1;1;1.0;0;;0;1;10;65.32;84.97
DEXXOS PARTICIPAÇÕES S.A.;1;0;1;1;1;0;1.0;0;;0;1;8;15.68;10.5
LOPES BRASIL;1;0;1;1;1;0;0.0;0;;1;1;8;1.11;2.02
ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A;0;0;1;1;1;1;1.0;0;;1;0;6;0.0;4.45
FERTILIZANTES HERINGER;0;0;0;1;1;1;1.0;0;;1;0;5;0.0;8.32
OSX BRASIL;0;0;1;1;0;0;1.0;0;;1;1;5;0.0;7.01
INEPAR S.A. INDUSTRIA E CONSTRUÇÃO;0;0;0;1;1;1;1.0;0;;0;0;5;0.0;4.82
CSU DIGITAL;1;1;1;1;1;0;1.0;0;;1;0;9;20.33;14.99
ATMA S.A.;0;0;0;0;1;0;1.0;0;;1;0;4;3.34;2.6
ALLIED;0;1;1;1;1;0;1.0;0;;1;0;6;15.74;5.99
LOG-IN LOGÍSTICA INTERMODAL;0;0;1;1;0;1;1.0;0;;1;0;6;26.48;40.0
GERDAU;1;1;1;1;1;1;1.0;0;;1;1;11;58.41;20.93
ROSSI RESIDENCIAL;0;0;0;1;1;1;1.0;0;;1;1;7;0.0;3.8
GRUPO JEREISSATI;1;0;1;1;1;1;1.0;0;;0;1;7;4.16;2.6
BRADESPAR;1;1;1;1;1;0;1.0;0;;0;1;9;55.17;20.1
PADTEC HOLDING S.A.;0;0;1;1;0;0;1.0;0;;0;0;4;3.11;2.52
SANTANENSE;0;0;1;1;0;1;1.0;0;;0;1;5;3.3;0.0
TERRA SANTA PROPRIEDADES AGRICOLAS S.A.;1;1;1;1;1;0;1.0;0;;1;0;8;15.84;21.42
SANSUY S.A. INDUSTRIA DE PLÁSTICOS;0;0;1;1;0;1;1.0;0;;0;1;5;0.0;5.85
TPI - TRIUNFO PARTICIP. E INVEST. S.A;0;0;1;1;1;0;1.0;0;;1;0;5;0.0;3.96
ALPER;1;0;1;1;1;0;1.0;0;;1;1;7;46.27;31.6
VESTE S/A;0;0;1;1;1;1;1.0;0;;1;1;8;17.48;13.72
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;1;0;1;1;1;0;0.0;0;;1;0;5;9.75;4.9
PARANAPANEMA;0;0;0;1;1;1;1.0;0;;1;1;7;0.0;4.53
COELCE;0;1;1;1;0;1;1.0;0;;0;0;5;85.46;13.8
TAURUS ARMAS;1;1;1;1;1;1;1.0;0;;1;1;11;21.42;14.9
UNICASA;1;1;1;1;1;1;1.0;0;;1;0;8;4.13;2.5
BANCO BANESTES;1;1;0;1;1;1;1.0;0;;0;0;7;12.27;8.52
POMIFRUTAS;0;0;0;1;1;1;1.0;0;;1;0;6;0.0;2.46
TRONOX PIGMENTOS DO BRASIL;1;1;1;1;1;1;1.0;0;;0;1;10;50.19;44.5
RANDON;0;1;1;1;0;1;1.0;0;;0;1;7;17.05;8.99
RNI NEGÓCIOS IMOBILIÁRIOS;0;1;1;1;0;1;1.0;0;;1;0;6;0.0;4.65
ALUPAR INVESTIMENTO S/A;0;1;1;1;0;0;1.0;0;;1;0;5;12.34;9.44
OURO FINO SAÚDE ANIMAL;0;1;1;1;1;0;0.0;0;;1;0;5;9.42;21.0
BR PROPERTIES;0;0;0;1;1;0;1.0;0;;1;0;4;0.0;206.3
BANCO BTG PACTUAL;1;0;1;1;1;1;1.0;0;;0;0;7;8.17;8.39
JOÃO FORTES ENGENHARIA S.A.;0;0;0;1;1;1;1.0;0;;0;0;5;0.0;2.38
SÃO CARLOS;1;0;1;1;1;1;0.0;0;;1;0;6;17.49;23.41
NUTRIPLANT INDUSTRIA E COMERCIO S.A.;0;0;1;1;1;1;1.0;0;;1;0;7;3.8;3.52
REFINARIA DE PETROLEOS MANGUINHOS;0;0;0;1;1;1;1.0;0;;0;0;5;0.0;2.28
CIA ENERGÉTICA DE BRASILIA;1;1;1;1;1;1;1.0;0;;0;0;9;28.59;13.7
COELBA;0;1;1;1;0;1;1.0;0;;0;0;6;57.17;44.45
SARAIVA;1;0;1;1;1;1;1.0;0;;1;1;9;0.0;3.21
WDC NETWORKINGS;1;0;1;1;1;1;0.0;0;;1;0;6;6.86;3.98
CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;0;1;1;1;0;0;1.0;0;;0;1;6;46.39;30.05
COSERN;0;0;1;1;0;1;1.0;0;;0;0;6;27.85;28.25
BANCO AMAZONIA;1;1;1;1;1;1;1.0;0;;0;0;8;221.02;90.0
EUCATEX;0;0;1;1;1;1;1.0;0;;0;1;6;38.14;13.68
ENERGISA;0;0;1;1;0;0;0.0;0;;1;1;5;10.1;14.95
MINUPAR;0;0;1;1;1;1;1.0;0;;0;0;5;0.0;14.41
REDE ENERGIA;0;1;1;1;0;1;1.0;0;;0;0;6;5.01;5.75
WHIRLPOOL;1;1;1;1;1;1;0.0;0;;0;1;8;2.87;4.32
ALPARGATAS;0;0;1;1;1;1;1.0;0;;0;0;5;0.0;8.25
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;0;0;1;0;1;1;1.0;0;;0;0;6;5.6;10.05
HAGA S/A;1;0;1;1;1;1;1.0;0;;0;1;8;0.0;2.63
CONSÓRCIO ALFA DE ADMINISTRAÇÃO;1;0;1;1;1;1;1.0;0;;0;0;6;20.95;9.27
NEXPE PARTICIPAÇÕES S.A.;0;0;0;1;1;0;1.0;0;;1;0;5;0.0;5.55
EMBPAR;1;0;1;1;1;1;1.0;1;;0;0;9;32.44;15.9
ELECTRO ACO ALTONA;0;0;1;1;0;1;1.0;0;;0;1;6;17.56;7.75
ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S/A;1;1;1;1;1;0;0.0;0;;0;0;5;1.29;2.1
COTEMINAS;0;0;1;1;1;1;1.0;0;;0;0;5;0.0;9.43
AFLUENTE;0;1;1;1;0;0;0.0;0;;0;0;3;6.04;7.11
GRAZZIOTIN;1;0;1;1;1;1;1.0;0;;1;1;8;67.52;24.51
BAHEMA;0;0;1;1;1;1;1.0;0;;0;0;5;0.0;9.55
TELEBRAS;1;0;1;1;1;1;1.0;0;;0;0;6;0.0;16.5
COMGÁS;0;1;1;0;1;1;0.0;1;;0;0;6;7.49;120.0
BAUMER;1;0;1;1;1;1;1.0;0;;0;0;6;17.72;10.15
CELESC;1;0;1;1;1;1;1.0;0;;1;1;9;172.2;60.99
RIO PARANAPANEMA;0;1;1;1;1;0;1.0;0;;0;0;6;42.02;23.69
CEDRO TÊXTIL;0;0;1;1;1;1;1.0;0;;0;1;7;24.85;16.0
BANCO MERCANTIL DO BRASIL;1;1;0;1;1;1;1.0;0;;0;0;7;25.29;15.07
AMPLA ENERGIA E SERVICOS;0;0;1;1;0;1;1.0;0;;0;0;4;0.0;15.9
BIOMM;0;0;0;1;1;0;1.0;0;;0;1;4;0.0;4.51
SONDOTECNICA ENGENHARIA SOLOS S.A.;1;0;1;1;1;1;1.0;0;;0;0;8;58.29;34.43
CONSTRUTORA ADOLPHO LINDENBERG;0;1;1;1;1;1;1.0;1;;0;0;8;29.99;14.2
BANCO ALFA DE INVESTIMENTO;1;0;0;1;1;1;1.0;0;;0;0;5;22.29;11.35
BICICLETAS MONARK;1;1;1;1;1;1;1.0;0;;0;0;8;760.79;297.7
PETTENATI;0;0;1;1;1;1;1.0;0;;0;1;6;11.47;11.21
ALPHAVILLE;0;0;0;1;1;1;1.0;0;;1;0;5;0.0;4.46
ALFA HOLDINGS;1;0;1;1;1;1;1.0;0;;0;0;6;14.87;7.55
BANCO NORDESTE DO BRASIL;1;1;0;1;1;1;1.0;0;;0;0;7;257.7;91.96
ENERGISA MATO GROSSO;0;1;1;1;0;1;1.0;0;;0;0;6;38.59;62.55
BANCO BANESE;1;1;1;1;1;1;1.0;0;;0;0;7;53.88;25.86
DOHLER;0;0;1;1;1;1;1.0;0;;0;0;5;0.0;7.0
PLASCAR PARTICIPAÇÕES;0;0;1;1;0;1;1.0;0;;0;0;5;0.0;7.7
MUNDIAL S/A;1;0;1;1;0;1;1.0;0;;0;1;7;753.55;56.28
BANCO DE BRASILIA S.A.;1;0;0;1;1;1;0.0;0;;0;0;4;10.9;14.0
GENERAL SHOPPING;0;0;1;1;1;0;1.0;0;;1;1;6;0.0;14.5
HABITASUL;0;1;1;1;1;1;1.0;0;;0;1;8;136.06;56.5
JOSAPAR JOAQUIM OLIVEIRA S/A PARTICIPAÇÕES;0;1;1;1;0;1;0.0;0;;0;0;4;40.45;21.0
FINANCEIRA ALFA S.A.;1;0;0;1;1;1;0.0;0;;0;0;4;6.44;6.01
CIA PARTICIPAÇÕES ALIANÇA DA BAHIA;1;0;1;1;1;0;0.0;0;;0;0;4;46.47;33.9
FERBASA;1;1;1;1;1;1;1.0;0;;0;0;9;79.63;57.01
CEEE-D;0;0;1;1;0;0;1.0;0;;0;0;4;0.0;36.97
PANATLANTICA;1;0;1;1;1;1;0.0;0;;0;0;5;28.47;25.15
METALFRIO SOLUTIONS;0;0;1;1;1;0;1.0;0;;1;0;5;0.0;45.05
SÃO PAULO TURISMO S.A.;1;0;1;0;1;1;1.0;0;;0;0;7;14.05;16.59
MRS LOGÍSTICA S.A.;0;0;1;1;1;1;1.0;0;;0;0;6;34.95;26.5
ESTRELA;0;0;1;1;0;1;1.0;0;;0;0;4;0.0;12.59
WLM INDÚSTRIA E COMÉRCIO;1;0;1;1;1;1;1.0;0;;0;0;8;35.43;27.0
GRUPO CASAS BAHIA S.A;0;0;1;1;0;1;1.0;0;;1;1;6;0.0;0.75
MONTEIRO ARANHA S.A.;1;0;1;1;1;1;1.0;1;;0;0;9;439.48;388.0
DTCOM - DIRECT TO COMPANY S.A.;1;0;1;1;1;0;0.0;0;;0;0;6;0.0;5.06
