Company Name;DÍVIDA LÍQUIDA - LUCRO LÍQUIDO;DIVIDENDOS;LUCRO OPERACIONAL>0;P/VP abaixo de 5;Líquida/EBITDA é menor que 2;+30 anos de mercado? (Fundação);P/L < 30;Crescimento de receitas lucro >5perc ultimos 5 anos;Soma_total;Formula Graham
PROFARMA;0;1;1;1;0;1;1;;5;7.38
AGROGALAXY;0;0;1;1;0;1;1;;4;0.0
CAMBUCI S.A.;1;1;1;1;1;1;1;;7;13.94
TECNISA;0;0;1;1;0;0;1;;3;8.11
UNIPAR CARBOCLORO;1;1;1;1;1;1;1;;7;65.32
DEXXOS PARTICIPAÇÕES S.A.;1;0;1;1;1;0;1;;5;15.68
LOPES BRASIL;1;1;1;1;1;0;0;;5;1.11
ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A;0;0;1;1;1;1;1;;5;0.0
FERTILIZANTES HERINGER;0;0;0;1;1;1;1;;4;0.0
OSX BRASIL;0;0;1;1;0;0;1;;3;0.0
INEPAR S.A. INDUSTRIA E CONSTRUÇÃO;0;0;0;1;1;1;1;;4;0.0
CSU DIGITAL;1;1;1;1;1;0;1;;6;20.33
EUCATEX;0;0;1;1;1;1;1;;5;38.14
SANTANENSE;0;0;1;1;0;1;1;;4;3.3
COTEMINAS;0;0;1;1;1;1;1;;5;0.0
SARAIVA;1;0;1;1;1;1;1;;6;0.0
ATMA S.A.;0;0;0;0;1;0;1;;2;3.34
ALLIED;0;1;1;1;1;0;1;;5;15.74
LOG-IN LOGÍSTICA INTERMODAL;0;0;1;1;0;1;1;;4;26.48
ROSSI RESIDENCIAL;0;0;0;1;1;1;1;;4;0.0
GRUPO JEREISSATI;1;1;1;1;1;1;1;;7;4.16
BANCO ALFA DE INVESTIMENTO;1;1;0;1;1;1;1;;6;22.29
PADTEC HOLDING S.A.;0;0;1;1;0;0;1;;3;3.11
TERRA SANTA PROPRIEDADES AGRICOLAS S.A.;1;1;1;1;1;0;1;;6;15.84
BANCO MERCANTIL DO BRASIL;1;1;0;1;1;1;1;;6;25.29
SANSUY S.A. INDUSTRIA DE PLÁSTICOS;0;0;1;1;0;1;1;;4;0.0
TPI - TRIUNFO PARTICIP. E INVEST. S.A;0;0;1;1;1;0;1;;4;0.0
ALPER;1;1;1;1;1;0;1;;6;46.27
VESTE S/A;0;1;1;1;1;1;1;;6;17.48
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;1;0;1;1;1;0;1;;5;9.75
PARANAPANEMA;0;0;0;1;1;1;1;;4;0.0
COELCE;0;1;1;1;0;1;1;;5;85.46
UNICASA;1;1;1;1;1;1;1;;7;4.13
BANCO BANESTES;1;1;0;1;1;1;1;;6;12.27
POMIFRUTAS;0;0;0;1;1;1;1;;4;0.0
TRONOX PIGMENTOS DO BRASIL;1;1;1;1;1;1;1;;7;50.19
RNI NEGÓCIOS IMOBILIÁRIOS;0;1;1;1;0;1;1;;5;0.0
ALUPAR INVESTIMENTO S/A;0;1;1;1;0;0;1;;4;12.34
OURO FINO SAÚDE ANIMAL;0;1;1;1;1;0;0;;4;9.42
BR PROPERTIES;0;0;0;1;1;0;1;;3;0.0
BANCO BTG PACTUAL;1;1;1;1;1;1;1;;7;8.17
JOÃO FORTES ENGENHARIA S.A.;0;0;0;1;1;1;1;;4;0.0
SÃO CARLOS;1;0;1;1;1;1;0;;5;17.49
NUTRIPLANT INDUSTRIA E COMERCIO S.A.;0;0;1;1;1;1;1;;5;3.8
REFINARIA DE PETROLEOS MANGUINHOS;0;0;0;1;1;1;1;;4;0.0
CIA ENERGÉTICA DE BRASILIA;1;1;1;1;1;1;1;;7;28.59
COELBA;0;1;1;1;0;1;1;;5;57.17
WDC NETWORKINGS;1;0;1;1;1;1;1;;6;6.86
COSERN;0;1;1;1;0;1;1;;5;27.85
BANCO AMAZONIA;1;1;1;1;1;1;1;;7;221.02
ENERGISA;0;1;1;1;0;0;1;;4;10.1
MINUPAR;0;0;1;1;1;1;1;;5;0.0
REDE ENERGIA;0;1;1;1;0;1;1;;5;5.01
WHIRLPOOL;1;1;1;1;1;1;1;;7;2.87
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;0;0;1;0;1;1;1;;4;5.6
HAGA S/A;1;0;1;1;1;1;1;;6;0.0
CONSÓRCIO ALFA DE ADMINISTRAÇÃO;1;0;1;1;1;1;1;;6;20.95
NEXPE PARTICIPAÇÕES S.A.;0;0;0;1;1;0;1;;3;0.0
EMBPAR;1;0;1;1;1;1;1;;6;32.44
ELECTRO ACO ALTONA;0;0;1;1;0;1;1;;4;17.56
ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S/A;1;1;1;1;1;0;1;;6;1.29
AFLUENTE;0;1;1;1;0;0;1;;4;6.04
GRAZZIOTIN;1;0;1;1;1;1;1;;6;67.52
BAHEMA;0;0;1;1;1;1;1;;5;0.0
TELEBRAS;1;0;1;1;1;1;1;;6;0.0
COMGÁS;0;1;1;0;1;1;0;;4;7.49
BAUMER;1;1;1;1;1;1;1;;7;17.72
CELESC;1;1;1;1;1;1;1;;7;172.2
RIO PARANAPANEMA;0;1;1;1;1;0;1;;5;42.02
CEDRO TÊXTIL;0;0;1;1;1;1;1;;5;24.85
AMPLA ENERGIA E SERVICOS;0;0;1;1;0;1;1;;4;0.0
BIOMM;0;0;0;1;1;0;1;;3;0.0
SONDOTECNICA ENGENHARIA SOLOS S.A.;1;0;1;1;1;1;1;;6;58.29
CONSTRUTORA ADOLPHO LINDENBERG;0;1;1;1;1;1;1;;6;29.99
BICICLETAS MONARK;1;1;1;1;1;1;1;;7;760.79
PETTENATI;0;1;1;1;1;1;1;;6;11.47
ALPHAVILLE;0;0;0;1;1;1;1;;4;0.0
ALFA HOLDINGS;1;0;1;1;1;1;1;;6;14.87
BANCO NORDESTE DO BRASIL;1;1;0;1;1;1;1;;6;257.7
ENERGISA MATO GROSSO;0;1;1;1;0;1;1;;5;38.59
BANCO BANESE;1;1;1;1;1;1;1;;7;53.88
DOHLER;0;0;1;1;1;1;1;;5;0.0
PLASCAR PARTICIPAÇÕES;0;0;1;1;0;1;1;;4;0.0
MUNDIAL S/A;1;0;1;1;0;1;1;;5;753.55
BANCO DE BRASILIA S.A.;1;1;0;1;1;1;1;;6;10.9
GENERAL SHOPPING;0;0;1;1;1;0;1;;4;0.0
